Symbol,Shortname,Longname,Sector,Industry,City,State,Country,Identifier
WTW,Willis Towers Watson Public Lim,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,London,,United Kingdom,NASDAQ_SE
AWK,American Water Works Company I,American Water Works Company Inc.,Utilities,Utilities - Regulated Water,Camden,NJ,United States,NYSE
TTWO,Take Two Interactive Software,Take Two Interactive Software Inc.,Communication Services,Electronic Gaming & Multimedia,New York,NY,United States,NASDAQ_SE
EQR,Equity Residential,Equity Residential,Real Estate,REIT - Residential,Chicago,IL,United States,NYSE
EBAY,eBay Inc.,eBay Inc.,Consumer Cyclical,Internet Retail,San Jose,CA,United States,NASDAQ_SE
ZBH,Zimmer Biomet Holdings Inc.,Zimmer Biomet Holdings Inc.,Healthcare,Medical Devices,Warsaw,IN,United States,NYSE
TROW,T. Rowe Price Group Inc.,T. Rowe Price Group Inc.,Financial Services,Asset Management,Baltimore,MD,United States,NASDAQ_SE
TRGP,Targa Resources Inc.,Targa Resources Corp.,Energy,Oil & Gas Midstream,Houston,TX,United States,NYSE
DOV,Dover Corporation,Dover Corporation,Industrials,Specialty Industrial Machinery,Downers Grove,IL,United States,NYSE
MTB,M&T Bank Corporation,M&T Bank Corporation,Financial Services,Banks - Regional,Buffalo,NY,United States,NYSE
PHM,PulteGroup Inc.,PulteGroup Inc.,Consumer Cyclical,Residential Construction,Atlanta,GA,United States,NYSE
AXON,Axon Enterprise Inc.,Axon Enterprise Inc.,Industrials,Aerospace & Defense,Scottsdale,AZ,United States,NASDAQ_SE
BLDR,Builders FirstSource Inc.,Builders FirstSource Inc.,Industrials,Building Products & Equipment,Irving,TX,United States,NYSE
NVR,NVR Inc.,NVR Inc.,Consumer Cyclical,Residential Construction,Reston,VA,United States,NYSE
CAH,Cardinal Health Inc.,Cardinal Health Inc.,Healthcare,Medical Distribution,Dublin,OH,United States,NYSE
BRO,Brown & Brown Inc.,Brown & Brown Inc.,Financial Services,Insurance Brokers,Daytona Beach,FL,United States,NYSE
VLTO,Veralto Corp,Veralto Corporation,Industrials,Pollution & Treatment Controls,Waltham,MA,United States,NYSE
WDC,Western Digital Corporation,Western Digital Corporation,Technology,Computer Hardware,San Jose,CA,United States,NASDAQ_SE
BR,Broadridge Financial Solutions,Broadridge Financial Solutions Inc.,Technology,Information Technology Services,Lake Success,NY,United States,NYSE
DTE,DTE Energy Company,DTE Energy Company,Utilities,Utilities - Regulated Electric,Detroit,MI,United States,NYSE
ETR,Entergy Corporation,Entergy Corporation,Utilities,Utilities - Regulated Electric,New Orleans,LA,United States,NYSE
APTV,Aptiv PLC,Aptiv PLC,Consumer Cyclical,Auto Parts,Dublin,,Ireland,NYSE
ROL,Rollins Inc.,Rollins Inc.,Consumer Cyclical,Personal Services,Atlanta,GA,United States,NYSE
BF-B,Brown Forman Inc,Brown Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,Louisville,KY,United States,NYSE
WY,Weyerhaeuser Company,Weyerhaeuser Company,Real Estate,REIT - Specialty,Seattle,WA,United States,NYSE
IFF,International Flavors & Fragran,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,New York,NY,United States,NYSE
STT,State Street Corporation,State Street Corporation,Financial Services,Asset Management,Boston,MA,United States,NYSE
FE,FirstEnergy Corp.,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,Akron,OH,United States,NYSE
IRM,Iron Mountain Incorporated (Del,Iron Mountain Incorporated,Real Estate,REIT - Specialty,Portsmouth,NH,United States,NYSE
HPE,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,Technology,Communication Equipment,Spring,TX,United States,NYSE
NTAP,NetApp Inc.,NetApp Inc.,Technology,Computer Hardware,San Jose,CA,United States,NASDAQ_SE
LYV,Live Nation Entertainment Inc.,Live Nation Entertainment Inc.,Communication Services,Entertainment,Beverly Hills,CA,United States,NYSE
TSN,Tyson Foods Inc.,Tyson Foods Inc.,Consumer Defensive,Farm Products,Springdale,AR,United States,NYSE
DECK,Deckers Outdoor Corporation,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,Goleta,CA,United States,NYSE
