Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NYQ,HWM,Howmet Aerospace Inc.,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,Pittsburgh,PA,United States
NYQ,HAL,Halliburton Company,Halliburton Company,Energy,Oil & Gas Equipment & Services,Houston,TX,United States
NYQ,LYB,LyondellBasell Industries NV,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,Houston,TX,United States
NYQ,GRMN,Garmin Ltd.,Garmin Ltd.,Technology,Scientific & Technical Instruments,Schaffhausen,,Switzerland
NMS,BIIB,Biogen Inc.,Biogen Inc.,Healthcare,Drug Manufacturers - General,Cambridge,MA,United States
NYQ,DVN,Devon Energy Corporation,Devon Energy Corporation,Energy,Oil & Gas E&P,Oklahoma City,OK,United States
NMS,BKR,Baker Hughes Company,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,Houston,TX,United States
NYQ,RMD,ResMed Inc.,ResMed Inc.,Healthcare,Medical Instruments & Supplies,San Diego,CA,United States
NYQ,ROK,Rockwell Automation Inc.,Rockwell Automation Inc.,Industrials,Specialty Industrial Machinery,Milwaukee,WI,United States
NYQ,DFS,Discover Financial Services,Discover Financial Services,Financial Services,Credit Services,Riverwoods,IL,United States
NYQ,PPG,PPG Industries Inc.,PPG Industries Inc.,Basic Materials,Specialty Chemicals,Pittsburgh,PA,United States
NYQ,EXR,Extra Space Storage Inc,Extra Space Storage Inc.,Real Estate,REIT - Industrial,Salt Lake City,UT,United States
NYQ,FICO,Fair Isaac Corproation,Fair Isaac Corporation,Technology,Software - Application,Bozeman,MT,United States
NYQ,VICI,VICI Properties Inc.,VICI Properties Inc.,Real Estate,REIT - Diversified,New York,NY,United States
NMS,ON,ON Semiconductor Corporation,ON Semiconductor Corporation,Technology,Semiconductors,Scottsdale,AZ,United States
NMS,XEL,Xcel Energy Inc.,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,Minneapolis,MN,United States
NYQ,DG,Dollar General Corporation,Dollar General Corporation,Consumer Defensive,Discount Stores,Goodlettsville,TN,United States
NMS,CDW,CDW Corporation,CDW Corporation,Technology,Information Technology Services,Vernon Hills,IL,United States
NYQ,ADM,Archer Daniels Midland Company,Archer Daniels Midland Company,Consumer Defensive,Farm Products,Chicago,IL,United States
NYQ,HIG,Hartford Financial Services Gro,The Hartford Financial Services Group Inc.,Financial Services,Insurance - Property & Casualty,Hartford,CT,United States
NMS,TSCO,Tractor Supply Company,Tractor Supply Company,Consumer Cyclical,Specialty Retail,Brentwood,TN,United States
NYQ,GLW,Corning Incorporated,Corning Incorporated,Technology,Electronic Components,Corning,NY,United States
NYQ,WAB,Westinghouse Air Brake Technolo,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,Pittsburgh,PA,United States
NYQ,EFX,Equifax Inc.,Equifax Inc.,Industrials,Consulting Services,Atlanta,GA,United States
NYQ,GPN,Global Payments Inc.,Global Payments Inc.,Industrials,Specialty Business Services,Atlanta,GA,United States
NYQ,EIX,Edison International,Edison International,Utilities,Utilities - Regulated Electric,Rosemead,CA,United States
NMS,ANSS,ANSYS Inc.,ANSYS Inc.,Technology,Software - Application,Canonsburg,PA,United States
NYQ,HPQ,HP Inc.,HP Inc.,Technology,Computer Hardware,Palo Alto,CA,United States
NYQ,AVB,AvalonBay Communities Inc.,AvalonBay Communities Inc.,Real Estate,REIT - Residential,Arlington,VA,United States
NYQ,FTV,Fortive Corporation,Fortive Corporation,Technology,Scientific & Technical Instruments,Everett,WA,United States
NYQ,MTD,Mettler Toledo International I,Mettler Toledo International Inc.,Healthcare,Diagnostics & Research,Columbus,OH,United States
NYQ,WST,West Pharmaceutical Services I,West Pharmaceutical Services Inc.,Healthcare,Medical Instruments & Supplies,Exton,PA,United States
NYQ,CBRE,CBRE Group Inc,CBRE Group Inc.,Real Estate,Real Estate Services,Dallas,TX,United States
NMS,DLTR,Dollar Tree Inc.,Dollar Tree Inc.,Consumer Defensive,Discount Stores,Chesapeake,VA,United States
NYQ,KEYS,Keysight Technologies Inc.,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,Santa Rosa,CA,United States
NYQ,WEC,WEC Energy Group Inc.,WEC Energy Group Inc.,Utilities,Utilities - Regulated Electric,Milwaukee,WI,United States
NYQ,RJF,Raymond James Financial Inc.,Raymond James Financial Inc.,Financial Services,Capital Markets,Saint Petersburg,FL,United States
NMS,FITB,Fifth Third Bancorp,Fifth Third Bancorp,Financial Services,Banks - Regional,Cincinnati,OH,United States
